Model,MAE,RMSE,R2,Median_AE
Baseline 1 (Mean),8.7270568203125,10.671568931130794,-0.002219471867555445,7.86940734375
Baseline 2 (Median),8.252162499999999,11.255616763405836,-0.11492302272688804,5.879000000000001
Baseline 3 (LinearRegression),452.6510826178739,12704.269706703006,-1420382.761198073,3.203476110726852
Baseline 4 (Ridge alpha=1.0),442.0981656040463,12406.144488084252,-1354501.9588620756,3.1735833724143285
Baseline 5 (RandomForest),0.9857856320625004,1.8654428747635876,0.9693754160857706,0.5451684999999902
Baseline 6 (HistGradientBoosting),0.8548165026681517,1.6070447407942758,0.9772719474907122,0.4905146904952389
Baseline 7 (GradientBoosting),0.7899000769619642,1.5220351754019763,0.9796128899527118,0.49802805388504723
