Experiment,Features_Count,MAE,RMSE,R2,delta_MAE_vs_R0,delta_RMSE_vs_R0,delta_R2_vs_R0
R0_Operating_Only,4,0.801404341645974,1.5274798341421736,0.979466770603968,0.0,0.0,0.0
R1_Operating_Sensors,12,0.8394154342468504,1.5831053657144476,0.9779440417967059,0.03801109260087643,0.05562553157227401,-0.0015227288072621192
R2_Operating_Sensors_Derived,17,0.7871887474540692,1.5208817969068087,0.9796437764202054,-0.014215594191904768,-0.006598037235364895,0.00017700581623736333
R3_R2_plus_CP5_Consistency,20,0.7899000769619642,1.5220351754019763,0.9796128899527118,-0.01150426468400978,-0.0054446587401972835,0.0001461193487437562
